Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
4;1001744;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.1;мужской;1;0;5;менеджер высшего звена;>250;0;108;34;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.2995169082;1;0;0;0;0.125;1;7;145;8;0;3;6;93;1;1;0;0;0;0;0
4;1001764;2НДФЛ;Ремонт;0;0.48;женский;0;0;4;специалист;>250;0;20;43;Другое;ЗАО;холост / не замужем;4;3;3;2;2;0.0222222222;0;0;0;0;0.3333333333;2;4;44;6;1;0;8;28;1;0;0;0;0;0;0
4;1001784;Поступление зарплаты на счет;Ремонт;1;0.39;женский;0;0;4;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001804;2НДФЛ;Другое;1;0.46;мужской;2;0;4;специалист;< 50;0;102;30;Торговля;ООО;разведен / разведена;7;7;6;6;6;0.0491803279;0;0;0;0;0.5;1;1;58;2;0;0;27;56;1;0;0;0;0;0;0
4;1001824;Форма банка (без печати работодателя);Покупка автомобиля;0;0.21;женский;1;0;4;специалист;>250;0;15;35;Торговля;ЗАО;женат / замужем;1;0;0;0;0;0.3157894737;0;0;0;0;1;1;0;13;1;1;0;17;17;1;0;0;0;0;0;0
4;1001844;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;2;вспомогательный персонал;>250;0;181;54;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001864;2НДФЛ;Покупка автомобиля;1;0.24;женский;0;0;4;специалист;>250;0;97;38;Торговля;ЗАО;женат / замужем;1;1;0;0;0;0;1;0;0;0;0.3333333333;2;4;155;6;0;2;21;96;0;0;0;0;0;0;0
4;1001884;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.38;женский;0;0;4;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001904;Поступление зарплаты на счет;Покупка автомобиля;1;0.51;женский;1;0;2;рабочий;>250;0;22;27;Другое;ЗАО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
4;1001924;2НДФЛ;Покупка недвижимости/ строительство;0;;мужской;0;0;1;вспомогательный персонал;;1;76;45;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1001944;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.33;женский;1;0;4;менеджер высшего звена;< 50;0;156;47;Другое;ООО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0.1428571429;1;6;68;7;0;2;8;99;0;0;0;0;0;0;0
4;1001964;Свободная форма с печатью работодателя;Ремонт;1;0.26;мужской;0;1;4;вспомогательный персонал;>250;0;8;26;Торговля;ООО;женат / замужем;0;0;0;0;0;0.1739130435;0;0;0;0;1;2;0;57;2;0;0;14;62;1;1;0;0;0;0;0
4;1001984;Поступление зарплаты на счет;Ремонт;0;0.36;женский;0;0;4;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002004;Форма банка (без печати работодателя);Ремонт;1;0.33;мужской;0;0;4;менеджер высшего звена;< 50;0;30;39;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002024;2НДФЛ;Ремонт;1;0.59;женский;0;0;4;рабочий;>250;0;134;53;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002044;Поступление зарплаты на счет;Покупка автомобиля;0;0.48;женский;0;0;4;специалист;>250;0;131;47;Другое;ЗАО;разведен / разведена;3;2;1;1;1;0;1;1;0;0;1;2;0;41;2;2;0;5;33;0;0;0;0;0;0;0
4;1002064;2НДФЛ;Ремонт;1;0.29;женский;1;0;4;менеджер по продажам;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002084;Поступление зарплаты на счет;Ремонт;1;0.12;мужской;1;0;4;специалист;>250;0;6;47;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;2;48;2;0;2;41;83;0;0;0;0;0;0;0
4;1002104;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.49;женский;0;0;4;менеджер среднего звена;>250;1;202;41;Торговля;ЗАО;холост / не замужем;5;3;3;0;0;0;1;1;1;1;0.5555555556;5;4;236;9;2;1;0;102;0;0;0;0;0;0;0
4;1002124;2НДФЛ;Другое;1;0.47;женский;1;0;1;вспомогательный персонал;>250;1;17;41;Торговля;ООО;холост / не замужем;2;2;0;0;0;0.2272727273;0;0;0;0;0.6666666667;2;1;17;3;1;0;11;33;1;1;0;0;0;0;0
4;1002144;Поступление зарплаты на счет;Ремонт;0;0.12;мужской;0;0;4;специалист;>250;1;6;25;Другое;ООО;женат / замужем;1;1;1;1;1;0.1578947368;0;0;0;0;0.3333333333;1;2;16;3;1;0;13;24;1;1;1;1;0;0;0
4;1002164;Свободная форма с печатью работодателя;Отпуск;1;0.4;женский;0;0;4;специалист;< 50;1;75;26;Юридические услуги;ООО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.3333333333;1;2;34;3;1;1;8;12;0;0;0;0;0;0;0
4;1002184;Свободная форма с печатью работодателя;Ремонт;1;0.47;женский;1;0;2;рабочий;>250;1;91;35;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;13;1;1;0;12;12;0;0;0;0;0;0;0
4;1002204;Поступление зарплаты на счет;Ремонт;0;0.24;женский;1;0;2;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002224;2НДФЛ;Покупка недвижимости/ строительство;1;0.34;мужской;1;0;2;рабочий;>250;0;14;28;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002244;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.28;женский;1;0;4;менеджер по продажам;>250;0;70;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1002264;Поступление зарплаты на счет;Ремонт;0;0.52;мужской;1;0;5;менеджер среднего звена;>250;0;77;45;Другое;ООО;женат / замужем;0;0;0;0;0;0.0035587189;1;0;0;0;0.625;6;2;280;8;4;0;38;77;1;0;0;0;0;0;0
4;1002284;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;2;рабочий;>250;0;21;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
